edge_id,source,target,distance,capacity_units,edge_type
E001:C0--C1,C0,C1,1.0,3.0,navigation
E002:C1--C2,C1,C2,1.0,3.0,navigation
E003:C2--C3,C2,C3,1.0,3.0,navigation
E004:C3--C4,C3,C4,1.0,4.0,navigation
E005:C4--C5,C4,C5,1.0,3.0,navigation
E006:C1--B1_0,C1,B1_0,1.0,4.0,navigation
E007:START_R01--DOOR_01,START_R01,DOOR_01,1.0,3.0,room_start
E008:DOOR_01--B1_0,DOOR_01,B1_0,1.0,3.0,door_to_hallway
E009:C1--B2_0,C1,B2_0,1.0,4.0,navigation
E010:START_R02--DOOR_02,START_R02,DOOR_02,1.0,2.0,room_start
E011:DOOR_02--B2_0,DOOR_02,B2_0,1.0,2.0,door_to_hallway
E012:C4--B3_0,C4,B3_0,1.0,4.0,navigation
E013:START_R03--DOOR_03,START_R03,DOOR_03,1.0,2.0,room_start
E014:DOOR_03--B3_0,DOOR_03,B3_0,1.0,3.0,door_to_hallway
E015:C4--B4_0,C4,B4_0,1.0,4.0,navigation
E016:START_R04--DOOR_04,START_R04,DOOR_04,1.0,3.0,room_start
E017:DOOR_04--B4_0,DOOR_04,B4_0,1.0,3.0,door_to_hallway
E018:B1_0--B1_1,B1_0,B1_1,1.0,4.0,navigation
E019:START_R05--DOOR_05,START_R05,DOOR_05,1.0,3.0,room_start
E020:DOOR_05--B1_1,DOOR_05,B1_1,1.0,3.0,door_to_hallway
E021:B2_0--B2_1,B2_0,B2_1,1.0,2.0,navigation
E022:START_R06--DOOR_06,START_R06,DOOR_06,1.0,2.0,room_start
E023:DOOR_06--B2_1,DOOR_06,B2_1,1.0,3.0,door_to_hallway
E024:B3_0--B3_1,B3_0,B3_1,1.0,3.0,navigation
E025:START_R07--DOOR_07,START_R07,DOOR_07,1.0,3.0,room_start
E026:DOOR_07--B3_1,DOOR_07,B3_1,1.0,3.0,door_to_hallway
E027:B4_0--B4_1,B4_0,B4_1,1.0,3.0,navigation
E028:START_R08--DOOR_08,START_R08,DOOR_08,1.0,2.0,room_start
E029:DOOR_08--B4_1,DOOR_08,B4_1,1.0,2.0,door_to_hallway
E030:B1_1--B1_2,B1_1,B1_2,1.0,2.0,navigation
E031:START_R09--DOOR_09,START_R09,DOOR_09,1.0,2.0,room_start
E032:DOOR_09--B1_2,DOOR_09,B1_2,1.0,2.0,door_to_hallway
E033:B2_1--B2_2,B2_1,B2_2,1.0,2.0,navigation
E034:START_R10--DOOR_10,START_R10,DOOR_10,1.0,3.0,room_start
E035:DOOR_10--B2_2,DOOR_10,B2_2,1.0,2.0,door_to_hallway
E036:C0--EXIT_A,C0,EXIT_A,1.0,4.0,exit
E037:C5--EXIT_B,C5,EXIT_B,1.0,6.0,exit
